[16:54:53] PUMP    ezo_i2c loaded -- using real EZO-PMP hardware
[16:54:53] SENSOR  ezo_i2c loaded -- using real EZO-pH hardware
[16:54:53] CTRL    reader thread started
 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
10.0.0.99 - - [19/May/2026 16:56:01] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:02] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:04] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:04] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:06] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:06] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:08] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:08] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:10] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:10] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:12] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:12] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:14] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:14] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:16] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:16] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:18] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:18] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:20] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:20] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:22] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:22] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:24] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:24] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:26] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:26] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:28] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:28] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:30] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:30] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:32] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:32] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:34] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:34] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:36] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:36] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:38] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:38] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:40] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:40] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:42] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:42] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:44] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:44] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:46] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:46] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:48] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:48] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:50] "POST /api/pump/stop HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:50] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:50] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:50] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:52] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:52] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:54] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:54] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:56] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:56] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:56:58] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:56:58] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:00] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:00] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:02] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:02] "GET /api/status HTTP/1.1" 200 -
